Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Fstat nuisance model	Fstat nuisance Motion partial model	Fstat nuisance CSF partial model	pval nuisance model	pval nuisance Motion partial model	pval nuisance CSF partial model	R2stat nuisance model	R2stat nuisance Motion partial model	R2stat nuisance CSF partial model	Fstat task model	pval task model	R2stat task model	Var Exp of rejected to accepted	classification	classification_tags
ICA_00	56.50655815274529	17.949131192937962	0.40260478695097607	0.00420971700021777	3722	2825	0.6814566764336543	0.5528888888888889	13.902562054432272	8.92625167576769e-39	1	5.40365167289166	5.535641555509589	4.736854625587759	1.5229500105462535e-08	1.0176782261339667e-07	0.003511805799678691	0.36176321196276795	0.3171867861281279	0.09039191468012853	13.187325866770813	0.00038109510630179866	0.0774871207336224	n/a	rejected	Unlikely BOLD
ICA_01	124.54004069103941	19.716371799664067	0.7254265563183643	0.010934840034274496	4457	3208	0.7357891020360127	0.636698128299472	11.490272582258305	2.845613467179144e-24	1	5.968666290253066	5.515488783342374	3.9737878382732306	1.579449460109572e-09	1.0922774229538135e-07	0.00935054022989179	0.3850255731635872	0.3163974070308967	0.07695106242515937	10.38977380316065	0.0015412589502770135	0.06206934609624559	41.4258134530108	accepted	Likely BOLD
ICA_02	154.0438716101224	17.37557766233311	1.1632262598520717	0.015443102316953975	6115	4567	0.7817420435510888	0.6719945199223656	10.599438144342761	5.688244368153047e-23	1	4.2704531955117755	3.616173294715481	3.177081034944412	1.627234127554722e-06	9.816929750872117e-05	0.026037836053693808	0.3093682437487725	0.2328082503718596	0.06248715286665896	1.7870241045972657	0.18322303744556456	0.011254220013721672	29.65520806335704	accepted	Likely BOLD
ICA_03	22.684568418317372	25.673251115216324	1.085546366579655	0.01238752443479245	3131	2713	0.44787268593699253	0.37021519710531325	-0.6816110470712524	0.4956686580178382	1	6.2380705821024955	5.404396731650227	4.122727242741971	5.451784579335595e-10	1.614357305612657e-07	0.0077216706454151796	0.39553045597907455	0.31201298715732306	0.07960562832524265	0.14239157301443028	0.7064245435087648	0.0009061308765194731	n/a	rejected	Unlikely BOLD
ICA_04	65.4991562068546	13.15382179028326	0.4112205280012944	0.006029758536691516	5872	3965	0.779002624671916	0.6365602340669126	17.264745662428062	2.213703510906858e-59	1	4.83998519729238	1.968595909255384	4.783739936228669	1.5264938990622312e-07	0.031206820796016665	0.0033071780543794116	0.33673401079783083	0.14177592238472014	0.09120501147772986	16.83710717616859	6.52573231415543e-05	0.09685565671031138	n/a	rejected	Unlikely BOLD
ICA_05	27.753982491907994	14.389622919642564	0.7810603966432241	0.008283552686077143	3754	2076	0.5428610995706966	0.31553515341870014	0.0	0.0	1	69.39856469464138	70.62962867907586	4.262813684234315	1.1102230246251565e-16	1.1102230246251565e-16	0.006450088328638026	0.8792207767516933	0.8556365659203228	0.0820885103303437	0.3357624029439695	0.5631160390535924	0.002134050121955555	n/a	rejected	Unlikely BOLD,External regressors
ICA_06	38.66694039157151	20.055647980541103	6.173670515511346	0.0519357979632615	5148	3829	0.526723624081065	0.29848320693391117	-5.9904230916431125	1.313778819610998e-07	1	52.3416078109894	3.8470934417220404	53.789159460674874	1.1102230246251565e-16	4.260292026714296e-05	1.1102230246251565e-16	0.8459257793700858	0.2440466877997467	0.5301731947178845	0.04704145759303802	0.828575322471652	0.0002995373689083092	n/a	rejected	Unlikely BOLD,External regressors
ICA_07	57.197549797577764	30.7753644739085	0.9780156803406714	0.011051929654318827	6872	6069	0.6201448321263989	0.4845117845117845	8.88070595976523	3.427176182417571e-17	1	10.138437445185161	5.211421079004255	36.18419901084948	4.440892098500626e-16	3.1910352393804686e-07	1.1102230246251565e-16	0.5153800112522814	0.3042616990516894	0.4315304167521785	0.05961561725136994	0.8074232936588037	0.0003795731768289068	n/a	rejected	Unlikely BOLD,External regressors
ICA_08	131.3668763090213	17.207989201404995	0.9755210888760711	0.012233147146446853	6515	4806	0.7981852315394243	0.6822742474916388	12.6091152051921	2.6167272904400107e-32	1	3.847725238356186	4.551766273546092	1.5016901604336648	9.588766276658056e-06	3.355597850696057e-06	0.21670406235809014	0.28755013796119755	0.2763934061043265	0.0305418008113294	9.894516966821561	0.001983345759005828	0.05928605173283541	38.799951333892814	accepted	Likely BOLD
ICA_09	72.01029540021777	14.219053584581204	0.24343259835019468	0.004580654593711073	4488	2842	0.68646188850967	0.5676218288008761	20.25118683026337	1.5061745357796577e-73	1	2.4739200489406206	2.6038350868184525	2.677205193788926	0.0029438040501708063	0.0036487945690198975	0.04940819532529672	0.20603546624516267	0.17932128868711417	0.05317837295489847	1.9672755749331787	0.16271165725300019	0.012375349378154543	27.647861922233517	accepted	Likely BOLD
