Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	estimated normalized variance explained	classification	rationale
PCA_00	39.01787909093568	18.090021221280928	59.02863519549921	0.3735837599036099	7035	4040	0.5849001603264831	0.2596563751453301	1123	0.0	0.0	30.0	1	0.5747492387485775	accepted	n/a
PCA_01	69.57022898539552	24.114116598253414	7.345448470614235	0.07756264414953683	8451	6897	0.690298277033286	0.5461695310224294	1199	11.970519626689036	3.2370457107503906e-26	13.0	-1	0.06606182078884687	accepted	n/a
PCA_02	125.3108358955779	30.80888424971198	8.764415875944016	0.05833627788566387	9163	7044	0.7496600181323663	0.6318869540393948	262	2.03196113742639	0.04283871773532115	11.0	1	0.05696453534727316	accepted	n/a
PCA_03	116.09138830477515	20.000997641136518	4.204453276182794	0.04915126142646161	9686	7481	0.7601275917065391	0.6254428771976737	856	11.318198347461742	2.223698500134714e-28	5.2	1	0.03914186212425554	accepted	n/a
PCA_04	63.04741290976353	25.230622000931188	2.65177598340485	0.03209501015719618	9810	7993	0.7312871907297213	0.626103896103896	896	1.6701358858300706	0.09525963887850776	15.2	1	0.02636515857561307	accepted	n/a
PCA_05	127.59875349515605	19.69851469610399	2.163797695336713	0.028572837609500617	10761	8390	0.8092868988391376	0.6970944161189262	723	10.46405231124431	1.275943816831808e-24	3.2	-1	0.027361762730413994	accepted	n/a
PCA_06	74.19604404294564	21.018436655287974	1.5287163724039505	0.022004476445228717	9794	7551	0.7515810379971777	0.612615126988557	729	8.480696889056127	5.977972832585882e-17	7.4	1	0.0179358260878536	accepted	n/a
PCA_07	41.22282679542774	23.88462422485652	1.4268133516963517	0.019016712111076597	7869	5874	0.660138171574217	0.5184210526315789	722	-0.5928426000460327	0.5533868800962491	22.4	-1	0.015715459861191917	accepted	n/a
PCA_08	76.3122054728936	19.435508976897093	1.699940512626123	0.017291069192786244	11037	9000	0.7945078393171908	0.6930533117932148	737	13.789510925653332	1.6994719303741744e-40	2.8	1	0.020425508058224323	accepted	n/a
PCA_09	54.489021944708696	22.903094610779462	0.8803737308199024	0.015618536976387551	7893	6382	0.6610470275066548	0.5037374065648359	1117	9.798567042363944	5.942765075615711e-20	16.2	1	0.011511334788869253	accepted	n/a
PCA_10	39.62244099056895	24.158117775169146	0.7960714881971072	0.01390346011616545	7483	5684	0.6377283670868149	0.5069107551487414	1013	6.2051555345385205	9.28507483400017e-10	21.8	-1	0.010486784156894014	accepted	n/a
